Dia,Semana,Stories,Feed,Ações,Legenda,Arte/Link,Observações,Status
01/06/2026,segunda-feira,"Compre On-line + Enquete, já sabe o seu presente de Dia dos namorados? (Já deixei as dicas // Ainda to escolhendo //  me ajuda na missão",Reels: Paula mostrando o produto (roteiro nas obs),Grupo VIP + E-mail: Vídeo do produto e o link,,,"[Paula segurando o copo]
“Esse ano, o seu presente vai ser mais que um chocolate…”

[Mostra a camiseta saindo do copo]
“Criamos uma edição especial da nossa t shirt unissex, aquele modelo que vocês já amam por aqui…”

[Detalhes da estampa/modelagem]
“…agora com um toque de amor.”

[Mostra os sachês]
“E tem mais: durante o mês de junho, ela vai nessa embalagem exclusiva + 2 sachês de Super Coffee.”

[Close no produto completo]
“Pra estar pronta pro treino, pro date e pra compartilhar momentos.”

[Paula olhando pra câmera]
“Doce Amor. Zero Açúcar.”",
02/06/2026,terça-feira,Vitrine ZNG,Carrossel: Seleção que vale mais que chocolate: Mostrar opções de looks,,,,Previw Atacado e Varejo,
03/06/2026,quarta-feira,ZOOM da Semana (fazer stories mostrando em detalhes o KIT DOCE AMOR,"Reels: Preparando um supercoffe no copo de milk shake e aparece ""Doce Amor. Zero Açúcar."" com a CTA no final compre o presente perfeito em nosso site! Edição Limitada",,,,"no final, um take mostrando bebendo e a hr que volta o copo para a mesa aparece o copo com a camiseta",
04/06/2026,quinta-feira,15% de Desconto na Primeira Compra  +  + contagem regressiva de dia dos namorados,,,,,,
05/06/2026,sexta-feira,Look Inspiração Foto + Vídeo,Foto de casal usando a camiseta juntos,,,,conteúdo UGC para o tráfego,
06/06/2026,sábado,Vídeo de Produto + Link // Enquete: Você dividiria seu presente de dia dos namorados?,,E-mail MKT:,,,,
07/06/2026,domingo,,,,,,,
08/06/2026,segunda-feira,Compre On-line + Enquete: Seu Date treina com você?,Reels: casal usando a camiseta  ou o namorado entregando a camiseta de presente,,,,,
09/06/2026,terça-feira,Vitrine ZNG,,,,,,
10/06/2026,quarta-feira,ZOOM da Semana + Enquete: Chocolate ou um Look novo?,Carrossel: Esportes para fazer em casal: Beach Tennis // Corrida // Tênis // Dança,,,,,
11/06/2026,quinta-feira,15% de Desconto na Primeira Compra,,,,,Abertura da Copa,
12/06/2026,sexta-feira,Look Inspiração Foto + Vídeo //  Dia dos Namorados,Dia dos Namorados (fotos de banco de imagens caso não tenha fotos de influencer usando),,,,,
13/06/2026,sábado,FeedBacks,,,,,Primeiro jogo do Brasil,
14/06/2026,domingo,,,,,,,
15/06/2026,segunda-feira,Compre On-line,Reels Produto Drop 2,,,,,
16/06/2026,terça-feira,Vitrine ZNG,,,,,,
17/06/2026,quarta-feira,ZOOM da Semana,,,,,,
18/06/2026,quinta-feira,15% de Desconto na Primeira Compra,Carrossel: (Conjuntos Drop 2),,,,,
19/06/2026,sexta-feira,Look Inspiração Foto + Vídeo,,,,,,
20/06/2026,sábado,Vídeo de Produto + Link,,,,,,
21/06/2026,domingo,,"Carrossel: Bem Vindo Inverno, vamos te ajudar a não perder o treino por causa do frio e ainda te manter estilosa! (Colocar as opções de blusas de manga longo do site)",,,,,
22/06/2026,segunda-feira,Compre On-line,Frase Motivacional,,,,Lançamento DROP 3 Atacado,
23/06/2026,terça-feira,Vitrine ZNG,,,,,,
24/06/2026,quarta-feira,ZOOM da Semana,,,,,,
25/06/2026,quinta-feira,15% de Desconto na Primeira Compra,Reels: Recorte Raio X,,,,,
26/06/2026,sexta-feira,Look Inspiração Foto + Vídeo,,,,,,
27/06/2026,sábado,Vídeo de Produto + Link,Carrossel: 1 Top 2 combinações (TOP ASSIMETRIC BLUE: Versão calça e versão com shorts),,,,"Primeiro uma foto só do top, na sequência as combinações!",
28/06/2026,domingo,,,,,,,
29/06/2026,segunda-feira,Compre On-line,"Carrosel: Se você começou a se cuidar agora, separamos 3 looks que vão ajudar na sua nova rotina! (no final colocar uma frase de motivação) Ex. Não desista, estamos com você!!!!",,,,,
30/06/2026,terça-feira,Vitrine ZNG,,,,,,
